baseline_commit,path,git_blob,sha256_working_copy,area,priority,content_type,bytes,lines,nonblank_lines,review_method,full_review_status,reviewed_line_ranges,reviewer,finding_ids,test_evidence,reviewed_at_commit,independent_signoff,observed_source_commit,audit_notes
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/supabase-keepalive.yml,5f8934c02e876313a2bcecfd29197ab5657cd2cd,6938e0b1c818933e4fa701a72e8fbb9d49bd156bc5c281bf06f8469dd37ba2f0,CI/release automation,P0,utf8_text,1823,50,46,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/web.yml,6d23085b63db9b073141503681a82440bbc5828c,3551ecc459a2d99c35945df154f5d5111514c2f4af7411a20a9a957c55659b44,CI/release automation,P0,utf8_text,1808,61,52,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,.gitignore,ca5fbe8dc9410195641d302a135348022a51bed2,a2b8fb58001c9386a09a3c3dff6703ecbd78991b99cb8228db4542747d1f7f43,Cron reliability and reporting,P1,utf8_text,769,53,43,Line-by-line plus relevant execution tests,Partial,50-53,root;cron_independent_critic,,work/planning/cron-reliability-qa.md; cron-independent-critic.md; work/verification/cron-candidate-backend-run4.log; cron-workflow-qa/result.json,05b73b522181145b1fabf3e4a2ae4d79096dd2b2,Local source/reporting review; broader cron recovery and M1 acceptance remain open.,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,Reviewed the single added scripts/__pycache__/ rule and surrounding context; unchanged remainder not rereviewed No deployed recovery or whole-app acceptance credit.
fe4637568059e49f27fb46f8627fe56bccc45e27,.gitleaks.toml,6c1f8f9f7b86bcad47db24004dd6128ec22ac95b,028220c5aa76310d7b57c7ef06a167ec9a88b202812cc53c1ddc99849db27bad,Build/configuration/other,P2,utf8_text,792,22,21,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,APP_PRD.md,7fa0ac65535953532d53122c1a85dc5b67647856,b89c0f438521ed4217c2bafb35a2e7df29b290ea97acd7838a7f93d8d5d814a9,Docs/release collateral,P2,utf8_text,56552,890,724,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,CONTRIBUTING.md,6159ef06506b4e4cf4462fbc38cf3eec7789b897,c3c8a6473ec6f8740e23905bd069ba948398e17b84dec2abe2474c41b5174874,Docs/release collateral,P2,utf8_text,7702,90,62,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,PENDING.md,e4505d18d8667ab43530303e3bdc39e3ef3e2e38,20970f62a08349467f16f1ba5ccad5d5173679f08ee4f68b0c3f8e33223b1111,Docs/release collateral,P2,utf8_text,11852,170,140,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,README.md,707234b8fcba60d08a33a9e7ef0590fca523ab4a,eae2d5c3f4a90fb580154e0a561db1aa53daaf19434398883aa29c9e88f6e3bf,Docs/release collateral,P2,utf8_text,12019,160,128,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,RESTORE.md,c962cc3f3391172581a49d8c1dea5657584054a5,8f0e5f556eb0ef69f1e874905abd574a2bc8629afd6d8b7f5917b33a7290d0f7,Docs/release collateral,P2,utf8_text,2673,54,42,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,SETUP.md,737c140aa072843878e29f14e7e0828e3b765ebe,00921db4d91ba284a1bb2ca807d4a17af83c2fd46bcec332e4f3aac3da0b2b10,Docs/release collateral,P2,utf8_text,9820,216,165,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/build.gradle.kts,d5b15b8ed2202d3048bc4d96009f0250778dfed1,7c7c0b8820191323bebadb3dbe357db57c80f0801385b5b3775e4f0d3cdca6da,Build/configuration/other,P2,utf8_text,20300,451,403,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/google-services.json.example,29f55e5e13382a4ecbb0235abc5b45175c2a4c00,d04e0d6b2f33b359f40689e4027e2af85c5737cd6bbf10309c6b796578f70f9a,Build/configuration/other,P2,utf8_text,994,25,25,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/proguard-rules.pro,f0c298c741947e58a7dbbe8442208ddc389c2a35,923efb1f603079cad5854e0e5ac904b5723dd8cdf3322597b26639197cc0cd2c,Build/configuration/other,P2,utf8_text,3718,85,74,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/schemas/.gitkeep,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Build/configuration/other,P2,utf8_text,0,0,0,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/schemas/com.equipseva.app.core.data.AppDatabase/2.json,0f8eef2180052e7243b800e0b204d4b6436827d4,4cce4885d207ecf2b039999695884be13f32eaabd09a23490d2316277af63eef,Build/configuration/other,P2,utf8_text,11527,375,375,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/schemas/com.equipseva.app.core.data.AppDatabase/3.json,2dc94de614bd321d9b6f945c54195e0a1ad1bf60,2f705dd7c8be3baf0a9d3d15d192e3396e3310bbb284a3f8588436a0e46727db,Build/configuration/other,P2,utf8_text,7669,251,251,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/schemas/com.equipseva.app.core.data.AppDatabase/4.json,06e60ecdbd5358ad9d134fc80eceb2e5a1a5fece,e0c583c42da2ad3581c2763af715d62d1aa652071118f1e1baf168ef0932fb9d,Build/configuration/other,P2,utf8_text,3030,102,102,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/androidTest/kotlin/com/equipseva/app/ExampleInstrumentedTest.kt,0a49b6f22a1308bc87383b3e4aaa32bbbaa2e824,c53a6bb777cab7fb0339ef79e9e320dfaa8668080a6ba44bb758bf57e9ff5a32,Android tests,P1,utf8_text,514,15,13,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/androidTest/kotlin/com/equipseva/app/SmokeFlowTest.kt,1956a20af00a83b6617854b9ef3de77d3dfb3a43,dac8cd92d3941453b4e1608144e4432a461187208d5846bddaf3e6e263d62e40,Android tests,P1,utf8_text,2030,52,45,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/debug/res/xml/network_security_config.xml,aad7092f7ead3efeee66fee1b6a82c70f60c6354,1cc6982cb921e22dc06cb26d93b14c576589d4475a651d687c31410e56c291e9,Android resources/variants,P1,utf8_text,1283,31,29,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/AndroidManifest.xml,a8d6bbce04f5b82286202a04125ef0f4011f5598,9503e99098157b7c3b5ad8c3cac1da9ac998a3fbf5e9ee3b58d6443c8dc9b569,Android resources/variants,P1,utf8_text,6888,141,125,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/EquipSevaApplication.kt,a66c5cedf72f31936d983b1360c7facf0e9c7dec,437e016ea940f3db49f49c87fcb36eaece411553608c9a13971041fd8394d79f,Android resources/variants,P1,utf8_text,12490,230,216,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/MainActivity.kt,674db01b971d71459600db65f737049a0d7244b1,e6f60913f7078b581432c5d33128f2db4db1b1087da892a9fff718f44938cecc,Android resources/variants,P1,utf8_text,6729,140,129,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/auth/AuthError.kt,01fbd3a121398b50f911880cdfb462534f315fd5,ed9c6aa9d9575fd52dc2badd70ae7922388a41bc007c6dbc8afa3e51692ee18e,Android trust boundaries,P0,utf8_text,3534,69,63,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/auth/AuthModule.kt,ffbc7d2b26440596b8691b37cf4ddbf28b11190c,a1dba8b6f30d1309c4aaa8527e6ceedba149c6a7cb7efe62602782d1656fd777,Android trust boundaries,P0,utf8_text,386,15,13,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/auth/AuthRepository.kt,07dfa427a9da80215a25c57907cbfef84bf15a41,2af93eaa63da71e20d833c202e90e2d3952d2556b1d021cdd6f6a3ecca71119b,Android trust boundaries,P0,utf8_text,4929,108,93,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/auth/EncryptedSessionManager.kt,942d0dcb2e0ae60405bc89100b7bdde8455e7fbc,905267b42051850a7e19cb317ec850a06999729b8379dfacda4998b354ae7663,Android trust boundaries,P0,utf8_text,4994,123,114,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/auth/SignOutCleanup.kt,93cb4b56a3906a13cd51901d4dc1b26b7c2a10ca,ef35dd30ac1d786850ed3b1de7791cc1f4e5579211b4ca643dd76d408f44da97,Android trust boundaries,P0,utf8_text,5258,97,95,Line-by-line plus relevant execution tests,Partial,,root;qa_critic_review;milestone_critic,,work/verification/candidate-final-evidence.json; work/planning/first-milestone-qa.md; first-milestone-critic.md,c71c2f3506fa5ec0c6e16b67bc22a68a5d9ab9ea,Changed-behavior review only; whole-file line audit pending.,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,Changed behavior and selected call sites reviewed. No whole-file coverage credit.
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/auth/SupabaseAuthRepository.kt,25a8effa0bd8671b6212b068768f77d20cb43194,363453d3f88e130251eac494350d342ac931956eef8f5cbde2f06a31f2499eaf,Android trust boundaries,P0,utf8_text,11458,267,247,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/AppDatabase.kt,48539be76557043fd2bd7b390e3ebccc9ee27728,,Android data/platform,P1,binary_or_non_utf8,5052,0,0,"Binary/asset provenance, usage and visual inspection where applicable",Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/account/SupabaseAccountDeletionRepository.kt,03a7d95d6ec912ba04b9eb103b91c4e2ef863248,5cff10bbb5955c9839499024a1fae416496bfe7a32ad1cec60c3c89b47d2c70c,Android data/platform,P1,utf8_text,1201,32,29,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/account/SupabaseDataExportRepository.kt,df69181c41218d5f59e52b755bea6d9a2ff3c793,e3587faa0ee30e7d91746656e384cc9f606912fb4d8349f6efebfe1753256897,Android data/platform,P1,utf8_text,1471,39,36,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/addresses/AddressRepository.kt,ba67b1cd23fe81bdd6dcc7a51ef5378165a94b56,abbbf2de0dd62cd9f5a205e22f96ed7fa26aeb085b60fb0b06c49792ee2e4bc9,Android data/platform,P1,utf8_text,4963,118,112,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/amc/AmcRepository.kt,c623b0f528a09ca874aac416d183b23f48246213,1dceb80867204bb8475c5d564d14d4c434a7a8914682bf08e1ee811cd9df14d5,Android data/platform,P1,utf8_text,27740,601,557,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/analytics/AnalyticsClient.kt,584c0285281e8f493a5639d0b31299363de111d3,a73edee558b072c9c66982c7a98b30adfe2a79b2c9f33b081b81d7684d72897b,Android data/platform,P1,utf8_text,3713,88,83,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/analytics/AnalyticsEvent.kt,968617294ba26e14b381b1f748a87aa104f2e3d8,237c6a80e6c882264d8535aaafa35fb830f4853fcc149ccd161cdc0c4b46b1e5,Android data/platform,P1,utf8_text,1335,28,27,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/calls/VirtualCallRepository.kt,5a42e775c92894f8e0e1354b2698b73c90994be0,dffc1700552c225c89c80460deefad2f9db7a6bbe711baf91dbb647efca18047,Android data/platform,P1,utf8_text,7018,167,151,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/cashsurvey/CashSurveyRepository.kt,c3be8bb0fe73ba21a924271c87dc80a81e1ef9bd,88b5fd4672fecf2ce28344356963b2b3559e9fc5a66cad01886e4618c71b79ba,Android data/platform,P1,utf8_text,2418,59,53,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/chat/ChatConversation.kt,c933202c53308220f40f4b10bac74e5d244b9568,1a8cefa92f7dff37af67edaf125430e6d36af3695854019e4a91a267852947c0,Android data/platform,P1,utf8_text,1322,37,33,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/chat/ChatMessage.kt,85bfad06357334062ae8212ad5a2b9ee5e9256fc,9ca47d35edefbd680ffe81c39bf066b69ddf1d2b244af33818515224e9606087,Android data/platform,P1,utf8_text,1599,46,41,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/chat/ChatMessageOutboxHandler.kt,a7da3cac386691e2cd6d26bfe5c9c57edbda948b,f9883c3e963d58701b39f418c4402d3a9ef5636c7bd37b70e051ad1758a74624,Android data/platform,P1,utf8_text,4735,108,100,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/chat/ChatModule.kt,6b067e71483a11bb3cefa9a94acc010ca66eb4b6,24124eeafda5b332c67fde2aff044441dc1127f6f989ea4d92dcce807ab3e883,Android data/platform,P1,utf8_text,593,19,17,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/chat/ChatRepository.kt,5808403621d27c1e919424ca442c9581a0c513f8,5a6d71556b7ba15188a85f19710f83c018532d200a88da5e5aa0bcd69e217235,Android data/platform,P1,utf8_text,25037,578,526,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/chat/ConversationDto.kt,912dfd638a2f5efcf9a5ef2ed2ed4b87e2c84359,14b8e63a8f612585d0d3ed84dca2e5d27b5e451bb7f1c5b9a08708e0599eb798,Android data/platform,P1,utf8_text,935,22,19,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/chat/MessageDto.kt,0b0c85c885d9b3962fc9c3a7fa8ea1d772c51460,4f07fa53ba6c9fd128d09beddfd4b6e88f337ae5ee77d47e55cbd2a25818c629,Android data/platform,P1,utf8_text,1010,30,26,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/dao/DeviceTokenDao.kt,461f91631ea5330f2d47a7a37ddc5d3c49088629,bc7383c4568b422140e491314f2a600fcebcff31ef02ed10a094a2ed10636823,Android data/platform,P1,utf8_text,463,18,14,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/dao/OutboxDao.kt,f6169679c1a60e45b774ab6cec8d0904d3cd929b,433210d91087af551d130d2aaeb960cd9f0479f34a0304fef631cc5fca871605,Android data/platform,P1,utf8_text,893,28,21,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/engineers/Engineer.kt,3fd67042886710919e9a49e927ea49d707809676,f0e2675901817f005ef882fe8304dbc0c602ccbabba092da8efdbdc7870d9e61,Android data/platform,P1,utf8_text,3042,74,69,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/engineers/EngineerCertificate.kt,99dec8366b2d74dfd74151bc646731f708f6929b,c89af9c853d2457cd439be1d28894bed0092ed8be5438536a7e0c0083c1e8270,Android data/platform,P1,utf8_text,826,24,22,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/engineers/EngineerDirectoryRepository.kt,cef812fd5aefc290dc13e00688c8e35315d27411,ba2bd8670b1647031a629a027e0d851038766c40b6d289902e57eb0632fef9b1,Android data/platform,P1,utf8_text,15925,317,303,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/engineers/EngineerDto.kt,3de563ead3a923e686842ce68c8ed0cf978e0c0b,d28c473130e5b517970d075e683fc1100fff37deba9fecae13fa18145db857a3,Android data/platform,P1,utf8_text,4293,82,78,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/engineers/EngineerRepository.kt,e7dcafecfcdbd3973f288358012e35adca2b6c3d,5e39a85c926e32ed849fddec4132d229e77c0de0c8a3e4d5d2fb4b6c43ae374b,Android data/platform,P1,utf8_text,2844,81,72,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,app/src/main/kotlin/com/equipseva/app/core/data/engineers/EngineersModule.kt,6c0fdb79c53dd5dfc428800c13395c6bdb33cb19,19f833955bdfaf69b12edfc564053e52a923dff7489dbd03ef446c15348b450d,Android data/platform,P1,utf8_text,413,15,13,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
